,Date,Type,Entry,Exit,PnL,Reason
0,2025-03-21 05:00:00+00:00,B_Surfer,19620.5,19645.14285714286,492.85714285717404,TrailStop
1,2025-03-21 07:00:00+00:00,B_Surfer,19640.75,19626.76785714286,-279.64285714282596,TrailStop
2,2025-03-31 00:00:00+00:00,B_Sniper,19482.75,19190.51785714286,-5844.642857142826,TrailStop
3,2025-04-04 10:00:00+00:00,B_Sniper,18654.0,18383.714285714286,-5405.714285714275,TrailStop
4,2025-04-23 15:00:00+00:00,B_Sniper,17931.75,18797.5,17315.0,TrailStop
5,2025-05-19 09:00:00+00:00,B_Surfer,21193.75,21122.375,-1427.5,TrailStop
6,2025-05-20 22:00:00+00:00,B_Surfer,21348.75,21377.39285714286,572.857142857174,TrailStop
7,2025-05-27 03:00:00+00:00,B_Sniper,20801.75,21158.89285714286,7142.857142857174,TrailStop
8,2025-06-15 22:00:00+00:00,B_Sniper,21543.75,21554.0,205.0,TrailStop
9,2025-07-17 08:00:00+00:00,B_Surfer,22989.75,23101.714285714286,2239.2857142857247,TrailStop
10,2025-07-31 11:00:00+00:00,B_Surfer,23412.25,23776.25,7280.0,TrailStop
11,2025-08-01 13:00:00+00:00,B_Sniper,23113.75,22928.89285714286,-3697.142857142826,TrailStop
12,2025-08-05 14:00:00+00:00,B_Sniper,23006.25,23259.803571428572,5071.071428571449,TrailStop
13,2025-08-15 15:00:00+00:00,B_Surfer,23800.75,23755.571428571428,-903.5714285714494,TrailStop
14,2025-08-19 15:00:00+00:00,B_Sniper,23677.75,23532.14285714286,-2912.142857142826,TrailStop
15,2025-08-20 03:00:00+00:00,B_Sniper,23558.75,23354.803571428572,-4078.9285714285506,TrailStop
16,2025-08-20 13:00:00+00:00,B_Sniper,23351.75,23305.0,-935.0,TrailStop
17,2025-09-05 14:00:00+00:00,B_Sniper,23230.0,23762.214285714286,10644.285714285725,TrailStop
18,2025-09-25 05:00:00+00:00,B_Surfer,24679.75,24747.428571428572,1353.5714285714494,TrailStop
19,2025-09-25 07:00:00+00:00,B_Surfer,24752.75,24718.839285714286,-678.2142857142753,TrailStop
20,2025-09-25 10:00:00+00:00,B_Surfer,24728.5,24699.303571428572,-583.9285714285506,TrailStop
21,2025-09-25 12:00:00+00:00,B_Surfer,24688.5,24594.5,-1880.0,TrailStop
22,2025-09-25 17:00:00+00:00,B_Surfer,24635.0,24602.410714285714,-651.7857142857247,TrailStop
23,2025-09-29 11:00:00+00:00,B_Surfer,24691.5,24862.714285714286,3424.2857142857247,TrailStop
24,2025-10-09 01:00:00+00:00,B_Surfer,25063.25,25327.035714285714,5275.714285714275,TrailStop
25,2025-10-10 20:00:00+00:00,B_Sniper,24680.0,24266.964285714286,-8260.714285714275,TrailStop
26,2025-10-14 04:00:00+00:00,B_Sniper,24689.75,24786.946428571428,1943.9285714285506,TrailStop
27,2025-10-15 15:00:00+00:00,B_Sniper,24559.25,24922.410714285714,7263.214285714275,TrailStop
28,2025-10-21 13:00:00+00:00,B_Sniper,24491.75,25253.0,15225.0,TrailStop
29,2025-10-31 13:00:00+00:00,B_Surfer,25871.5,26172.928571428572,6028.571428571449,TrailStop
30,2025-11-03 06:00:00+00:00,B_Surfer,25949.25,26044.303571428572,1901.0714285714494,TrailStop
31,2025-11-03 14:00:00+00:00,B_Surfer,26047.25,26145.125,1957.5,TrailStop
32,2025-11-03 19:00:00+00:00,B_Surfer,26088.5,26083.26785714286,-104.64285714282596,TrailStop
33,2025-11-04 00:00:00+00:00,B_Surfer,26116.5,26045.303571428572,-1423.9285714285506,TrailStop
34,2025-11-04 20:00:00+00:00,B_Sniper,25775.25,25572.51785714286,-4054.642857142826,TrailStop
35,2025-11-06 08:00:00+00:00,B_Sniper,25338.5,25645.0,6130.0,TrailStop
36,2025-11-07 11:00:00+00:00,B_Sniper,25337.25,25189.0,-2965.0,TrailStop
37,2025-11-10 16:00:00+00:00,B_Sniper,25018.0,25465.696428571428,8953.92857142855,TrailStop
38,2025-11-21 10:00:00+00:00,B_Sniper,24396.25,24022.053571428572,-7483.928571428551,TrailStop
39,2025-12-09 06:00:00+00:00,B_Surfer,25592.75,25664.0,1425.0,TrailStop
40,2025-12-09 23:00:00+00:00,B_Surfer,25616.5,25669.839285714286,1066.7857142857247,TrailStop
41,2025-12-10 10:00:00+00:00,B_Surfer,25671.75,25696.76785714286,500.35714285717404,TrailStop
42,2025-12-15 14:00:00+00:00,B_Sniper,25173.5,25260.214285714286,1734.2857142857247,TrailStop
43,2025-12-16 09:00:00+00:00,B_Sniper,24902.75,24935.375,652.5,TrailStop
44,2025-12-31 14:00:00+00:00,B_Sniper,25595.5,25590.285714285714,-104.28571428572468,TrailStop
45,2026-01-15 20:00:00+00:00,B_Sniper,25515.25,25690.428571428572,3503.5714285714494,TrailStop
